date;purchase_amount
2010-01-01;86172.8251487103
2010-02-01;95112.7931729388
2010-03-01;102783.1293806586
2010-04-01;109422.0598089949
2010-05-01;106396.0991431709
2010-06-01;110860.2607875652
2010-07-01;114685.9165167535
2010-08-01;119805.1449852492
2010-09-01;125695.8473995722
2010-10-01;131752.9769166755
2010-11-01;137222.2992927371
2010-12-01;140859.6010005902
2011-01-01;143514.6121584044
2011-02-01;146917.5626538186
2011-03-01;152497.626109757
2011-04-01;160416.6060227701
2011-05-01;170863.6625879868
2011-06-01;183714.4454189497
2011-07-01;195600.1335100902
2011-08-01;206142.9564923348
2011-09-01;214626.2275703492
2011-10-01;221740.6248604455
2011-11-01;230682.0017298668
2011-12-01;241701.1072753927
2012-01-01;253836.7919931271
2012-02-01;267023.1657545814
2012-03-01;278532.2500929676
2012-04-01;285981.9910862421
2012-05-01;288434.8107836379
2012-06-01;285135.0943475937
2012-07-01;281199.3707633062
2012-08-01;286001.9454873829
2012-09-01;291703.5539389302
2012-10-01;299228.7815130553
2012-11-01;303843.8435534174
2012-12-01;303411.9482011346
2013-01-01;301831.7932594245
2013-02-01;301761.1011444593
2013-03-01;304414.7084777084
2013-04-01;313195.6471512453
2013-05-01;326866.3756338218
2013-06-01;343163.3875386601
2013-07-01;356987.7029329801
2013-08-01;370166.4696134586
2013-09-01;378010.7379295664
2013-10-01;385114.8218428757
2013-11-01;393446.8420508198
2013-12-01;403752.767147161
2014-01-01;419648.5210115053
2014-02-01;436069.205258295
2014-03-01;447436.9099152931
2014-04-01;451796.4264934711
2014-05-01;449294.8128307586
2014-06-01;443157.6800675331
2014-07-01;436582.0490755804
2014-08-01;438357.9417648968
2014-09-01;442872.7708194284
2014-10-01;449013.5810164186
2014-11-01;453798.8154340212
2014-12-01;452380.1506589744
2015-01-01;447696.800050271
2015-02-01;444943.4210924816
2015-03-01;447232.6233757468
2015-04-01;455045.472677702
2015-05-01;470987.6774642491
2015-06-01;492966.7149406181
2015-07-01;511613.5173716833
2015-08-01;524768.396795551
2015-09-01;531856.2443588647
2015-10-01;536521.0812286228
2015-11-01;546371.4424653304
2015-12-01;561898.4070352365
2016-01-01;578583.7932450045
2016-02-01;595602.1720685128
2016-03-01;608257.3814135555
2016-04-01;611275.5831335502
2016-05-01;608281.0815890556
2016-06-01;598588.8635195623
2016-07-01;587812.1272444546
2016-08-01;590006.1263442001
2016-09-01;593530.249436729
2016-10-01;601531.0300766667
2016-11-01;604724.9261748525
2016-12-01;595947.7575906416
2017-01-01;589744.4448179733
2017-02-01;585233.4068630245
2017-03-01;584156.3437316322
2017-04-01;594566.7666686733
2017-05-01;615509.1649945126
2017-06-01;641731.7118671733
2017-07-01;662694.0493992926
2017-08-01;680788.2050192835
2017-09-01;688301.7340300321
2017-10-01;695464.3118146547
2017-11-01;706251.0989812502
2017-12-01;721440.1329289321
2018-01-01;745371.4857764748
2018-02-01;767940.2899846532
2018-03-01;780847.1826883269
2018-04-01;781080.3840341276
2018-05-01;771781.4376828815
2018-06-01;757649.4391038218
2018-07-01;743055.5951690422
2018-08-01;743005.1538234769
2018-09-01;746793.2492306322
2018-10-01;754014.3502525473
2018-11-01;753489.2001142274
2018-12-01;746652.4061059724
2019-01-01;733849.5570235442
2019-02-01;722749.7794879912
2019-03-01;723579.5791667057
2019-04-01;732557.8586477637
2019-05-01;756202.8408751761
2019-06-01;790327.9352633653
2019-07-01;818399.6639363746
2019-08-01;835964.9952097391
2019-09-01;843043.2323880835
2019-10-01;847416.5003429501
2019-11-01;861885.7820399672
2019-12-01;886266.4462908215
2019-12-31;911322.5330748361
2020-01-31;928968.5033317637
2020-02-29;951210.2435304954
2020-03-31;947240.9097098082
2020-04-30;933246.9672721185
2020-05-31;917770.3997740316
2020-06-30;902216.928360061
2020-07-31;887345.0767430287
2020-08-31;880183.7533973316
2020-09-30;875209.8877442311
2020-10-31;875247.598516117
2020-11-30;872706.0471066164
